"id" "x" "y" "phenotype1" "envi" "phenotype2" "pop"
"1" 0 0.497164 0.992154 1.01915 0.888097 1.01915 1
"2" 1 0.631197 0.070583 -0.535818 0.804004 -0.535818 2
"3" 2 0.184811 0.320225 1.17778 0.00734727 1.17778 3
"4" 3 0.19549 0.32293 -0.36128 0.0836187 -0.36128 3
"5" 4 0.0148107 0.979297 0.261367 -0.302216 0.261367 4
"6" 5 0.00369433 0.077454 1.1384 -1.26882 1.1384 5
"7" 6 0.739777 0.718552 0.527381 0.411206 0.527381 6
"8" 7 0.0139865 0.253215 -1.33294 -1.16357 -1.33294 7
"9" 8 0.862603 0.955386 0.387329 -0.831115 0.387329 8
"10" 9 0.631104 0.327876 0.527237 0.603667 0.527237 9
"11" 10 0.772001 0.382424 -0.89943 -0.232191 -0.89943 10
"12" 11 0.00880717 0.861705 -0.149923 -0.44561 -0.149923 11
"13" 12 0.933308 0.974775 -0.448318 -1.11962 -0.448318 8
"14" 13 0.019043 0.730067 -0.899622 -0.619092 -0.899622 12
"15" 14 0.148542 0.038552 0.0561766 -0.84025 0.0561766 13
"16" 15 0.923543 0.803717 1.24474 -0.674199 1.24474 14
"17" 16 0.447238 0.00512069 0.373347 0.992704 0.373347 15
"18" 17 0.00921739 0.249856 0.380142 -1.19351 0.380142 7
"19" 18 0.143648 0.0375018 -0.222561 -0.85844 -0.222561 13
"20" 19 0.146979 0.593107 0.282676 -0.392691 0.282676 16
"21" 20 0.896036 0.994014 0.0954148 -1.05507 0.0954148 8
"22" 21 0.474535 0.244985 1.14532 1.23107 1.14532 17
"23" 22 0.371678 0.215431 -0.0546439 0.880207 -0.0546439 17
"24" 23 0.447454 0.0159295 1.53963 1.00199 1.53963 15
"25" 24 0.145447 0.621306 0.209348 -0.318287 0.209348 16
"26" 25 0.20057 0.311311 -0.482408 0.147753 -0.482408 3
"27" 26 0.0163291 0.263598 -1.04773 -1.16762 -1.04773 7
"28" 27 0.514034 0.0284592 -1.57206 1.36453 -1.57206 15
"29" 28 0.442727 0.748457 -0.589716 1.31044 -0.589716 18
"30" 29 0.817051 0.514437 -0.647179 -0.905833 -0.647179 19
"31" 30 0.0124871 0.850457 0.0947819 -0.448149 0.0947819 11
"32" 31 0.0102854 0.858352 -0.388456 -0.445455 -0.388456 11
"33" 32 0.583385 0.656031 -0.00225081 0.759954 -0.00225081 20
"34" 33 0.663726 0.522209 -0.448408 -0.325763 -0.448408 21
"35" 34 0.957351 0.542953 -1.22734 -0.997225 -1.22734 22
"36" 35 0.142316 0.0417636 -0.366952 -0.8485 -0.366952 13
"37" 36 0.0114762 0.270786 -0.659765 -1.22026 -0.659765 7
"38" 37 0.00570178 0.279101 -1.08545 -1.28238 -1.08545 7
"39" 38 0.787812 0.268296 1.05993 0.357718 1.05993 23
"40" 39 0.750554 0.381487 0.0913105 -0.150292 0.0913105 10
"41" 40 0.754115 0.12645 0.595111 0.369249 0.595111 24
"42" 41 0.866923 0.00865214 -0.486123 -0.864676 -0.486123 25
"43" 42 0.568094 0.657233 -0.0169367 0.835672 -0.0169367 20
"44" 43 0.95433 0.212683 -0.512671 -0.823815 -0.512671 26
"45" 44 0.271033 0.695763 0.942086 0.536237 0.942086 27
"46" 45 0.0124644 0.26224 -0.78808 -1.19448 -0.78808 7
"47" 46 0.957368 0.200666 -0.799309 -0.890168 -0.799309 26
"48" 47 0.254869 0.441239 -0.189595 0.254654 -0.189595 28
