"position" "selCoef" "originGen" "type" "freq" "pa2" "prop" "count"
3200 0.0989896 3856 "m2" 0.2335 0.002 0.02 TRUE
10589 -0.129674 4 "m2" 1 0 0 FALSE
17593 -0.0991819 238 "m2" 0.197 0.002 0.02 TRUE
18862 -1.28858 3997 "m2" 5e-04 0.001 0.01 TRUE
19341 0.200985 3994 "m2" 5e-04 0 0 FALSE
21117 -0.783639 4000 "m2" 5e-04 0 0 FALSE
21929 -0.338847 2119 "m2" 0.2415 0.021 0.21 TRUE
26152 -0.15775 3997 "m2" 0.0015 0 0 FALSE
27702 0.119171 3004 "m2" 0.5325 0.004 0.04 TRUE
30094 0.0959116 3815 "m2" 0.0145 0 0 FALSE
30729 -0.789084 3997 "m2" 0.0015 0.001 0.01 TRUE
34180 0.0188577 2050 "m2" 0.4735 0 0 FALSE
36194 0.199046 4000 "m2" 5e-04 0 0 FALSE
37385 0.118038 2991 "m2" 0.014 0 0 FALSE
81503 -1.09217 4000 "m2" 5e-04 0.001 0.01 TRUE
81696 0.0594199 712 "m2" 0.7535 0.001 0.01 TRUE
81730 0.531588 3 "m2" 0.3 0.059 0.59 TRUE
85118 -0.146348 360 "m2" 0.3095 0.005 0.05 TRUE
85955 -0.050043 27 "m2" 1 0 0 FALSE
87082 0.696549 3993 "m2" 5e-04 0 0 FALSE
88848 -0.593437 4000 "m2" 5e-04 0 0 FALSE
90699 -0.259938 3999 "m2" 0.001 0 0 FALSE
96270 -0.0208146 3677 "m2" 0.1755 0 0 FALSE
97530 0.592369 4000 "m2" 5e-04 0 0 FALSE
99045 -0.78241 3995 "m2" 0.0015 0.001 0.01 TRUE
100803 0.165952 3739 "m2" 0.087 0.002 0.02 TRUE
101009 0.30742 4000 "m2" 5e-04 0 0 FALSE
104069 -0.0453107 3849 "m2" 0.005 0 0 FALSE
106773 0.270043 3994 "m2" 0.002 0 0 FALSE
109888 -0.472101 3998 "m2" 5e-04 0 0 FALSE
112932 -0.163891 4000 "m2" 5e-04 0 0 FALSE
116833 -0.420531 3995 "m2" 5e-04 0 0 FALSE
117820 0.502966 3986 "m2" 5e-04 0 0 FALSE
186395 0.0340453 2889 "m4" 1 0 0 TRUE
186895 0.0490189 3996 "m4" 0.001 0 0 FALSE
187265 0.0049572 3940 "m4" 0.0355 0 0 FALSE
